Lista de facultades y carreras
1,Facultad de Ingenieria,Libertador General San Martin 1109 (O),Capital San Juan,0264-4222074-4222643
1,1,BioIngenieria,Bioingeniero,Once Semestres,Grado
1,2,Ingenieria Electronica, Ingeniero en Electronica, Once Semestres,Grado
1,3,Ingenieria Electrica,Ingeniero en Electrico,Diez Semestres,Grado
1,4,Ingenieria en Agrimensura,Ingeniero Agrimensor,Diez Semestres,Grado
1,5,Ingenieria Electromecanica,Ingeniero Electromecanico,Once Semestres,Grado
1,6,Ingenieria Industrial,Ingeniero Industrial,Diez Semestres,Grado
1,7,Ingenieria Mecanica,Ingeniero Mecanico,Once Semestres,Grado
1,8,Ingenieria Civil,Ingeniero Civil,Diez Semestres,Grado
1,9,Ingenieria en Minas,Ingeniero en Minas,Diez Semestres,Grado
1,10,Ingenieria en Metalurgica Extractiva,Ingeniero Metalurgista,Diez Semestres,Grado
1,11,Ingenieria en Alimentos,Ingeniero en Alimentos ,Diez Semestres,Grado
1,12,Ingenieria en Agronomica,Ingeniero Agronomo,Diez Semestres,Grado
2,Facultad de Ciencias Exactas Fisicas y Naturales,Avenida Ignacio de la Rosa 590 (Oeste),Rivadavia San Juan,0264-4260353-4260355
2,1,Licenciatura en Sistemas de Informacion,Licenciado en Sistemas de Informacion,Diez Semestres,Grado
2,2,Licenciatura en Ciencias de la Computacion,Licenciado en Ciencias de la Computacion,Diez Semestres,Grado
2,3,Tecnicatura en Programacion Web,Tecnico en Programacion Web,Tres Semestres,Pre grado
3,Facultad de Aquitectura Urbanismo y Disenio,Meglioli (S),Rivadavia San Juan,264-4260353-4260000
3,1,Arquitectura,Arquitecto,Diez Semestres,Grado
3,2,Disenio Grafico,Diseniador Grafico,Diez Semestres,Grado
3,3,Disenio Industrial,Diseniador Industrial,Diez Semestres,Grado
4,Facultad de Ciencias Sociales,Avenida Ignacio de la Rosa 590 (Oeste),Rivadavia San Juan,264-4260353-4261111
4,1,Licenciatura en Comunicacion Social, Licenciado en Comunicacion Social,Diez Semestres,Grado
4,2,Licenciatura en Trabajo Social,Licenciado en Trabajo Social,Diez Semestres,Grado
4,3,Contador Publico,Contador Publico,Diez Semestres,Grado
4,4,Licenciatura en Administracion de Empresas, Licenciado en Administracion de Empresas,Diez Semestres,Grado
4,5,Abogacia,Abogado,Diez Semestres,Grado
5,Facultad de Filosofia Humanidades y Artes,Av. Ignacio de la Rosa (Oeste),Capital San Juan,264-4260353-4262222
5,1,Licenciatura en Ingles,Licenciado en Ingles,Diez Semestres,Grado
5,2,Licenciatura en Archivistica,Licenciado en Srchivistica,Diez Semestres,Grado
5,3,Profesorado de Matematica,Profesor de matematica,Diez Semestres,Grado
5,4,Profesor de Fisca y Quimica,Profesora de Fisica y Quimica,Diez Semestres,Grado
